Intel® Product Specification Comparison
09/02/2026 07:42:58 PM
 ,Intel® Xeon® 6333P Processor ,Intel® Xeon® 6315P Processor ,Intel® Xeon® 6325P Processor ,Intel® Xeon® 6357P Processor ,Intel® Xeon® 6353P Processor ,Intel® Xeon® 6349P Processor ,Intel® Xeon® 6337P Processor ,Intel® Xeon® 6369P Processor ,Intel® Xeon® 6747P Processor ,Intel® Xeon® 6521P Processor ,Intel® Xeon® 6530P Processor ,Intel® Xeon® 6520P Processor ,Intel® Xeon® 6732P Processor ,Intel® Xeon® 6527P Processor ,Intel® Xeon® 6517P Processor ,Intel® Xeon® 6511P Processor ,Intel® Xeon® 6505P Processor ,Intel® Xeon® 6507P Processor ,Intel® Xeon® 6515P Processor ,Intel® Xeon® 6724P Processor ,Intel® Xeon® 6714P Processor ,Intel® Xeon® 6944P Processor ,Intel® Xeon® 6726P-B Processor ,Intel® Xeon® 6503P-B Processor ,Intel® Xeon® 6516P-B Processor ,Intel® Xeon® 6533P-B Processor ,Intel® Xeon® 6523P-B Processor ,Intel® Xeon® 6546P-B Processor ,Intel® Xeon® 6543P-B Processor ,Intel® Xeon® 6553P-B Processor ,Intel® Xeon® 6706P-B Processor ,Intel® Xeon® 6563P-B Processor ,Intel® Xeon® 6556P-B Processor ,Intel® Xeon® 6716P-B Processor ,Intel® Xeon® 6513P-B Processor ,Intel® Xeon® 6745P Processor ,Intel® Xeon® 6776P Processor ,Intel® Xeon® 6774P Processor ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Xeon® 698X Processor ,Intel® Xeon® 6532P-B Processor ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Xeon® 696X Processor ,Intel® Xeon® 676X Processor ,Intel® Xeon® 678X Processor ,Intel® Xeon® 636 Processor ,Intel® Xeon® 638 Processor ,Intel® Xeon® 656 Processor ,Intel® Xeon® 654 Processor ,Intel® Xeon® 658X Processor ,Intel® Xeon® 674X Processor ,Intel® Xeon® 6962P Processor ,Intel® Xeon® 6978P Processor ,Intel® Xeon® 634 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel® Xeon® 6548P-B Processor ,Intel® Xeon® 6725P Processor ,Intel® Xeon® 6776P-B Processor ,Intel® Xeon® 6766P-B Processor ,Intel® Xeon® 6756P-B Processor ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Xeon® 6544P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Arc™ G3 Extreme Processor ,Intel® Arc™ G3  Processor ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Xeon® 6768P-B Processor ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel® Xeon® 6990E+ processor ,Intel® Xeon® 6980E+ processor ,Intel® Xeon® 6960E+ processor ,Intel® Xeon® 6970E+ processor ,Intel® Xeon® 6503P processor ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Xeon® 6377P Processor 
# of Performance-cores,6,4,4,8,8,6,6,8,,,,,,,,,,,,,,,42,12,20,32,24,32,32,36,40,38,36,40,20,,,,,,,,6,6,86,32,2,64,32,48,12,16,20,18,24,28,,,12,,,32,,72,64,64,4,4,4,4,4,4,4,4,32,40,20,2,2,6,8,6,4,8,8,2,12,2,12,4,8,4,10,12,10,8,4,8,10,64,6,8,8,2,2,2,2,2,1,,,0,0,0,0,,2,4,12
Total Threads,12,4,8,16,16,12,12,16,96,48,64,48,64,48,32,32,24,16,32,32,16,144,84,24,40,64,48,64,64,72,80,76,72,80,40,64,128,128,20,16,24,24,14,14,172,64,12,128,64,96,24,32,40,36,48,56,144,240,24,,,64,32,144,128,128,16,16,16,16,16,12,16,12,64,80,40,14,14,18,24,18,8,16,16,6,24,6,24,8,16,8,20,24,20,16,8,16,20,128,18,24,20,6,6,6,6,6,5,16,8,288,264,144,192,16,6,16,24
Max Turbo Frequency,5.2 GHz,4.7 GHz,5.2 GHz,5.4 GHz,5.4 GHz,5.7 GHz,5.3 GHz,5.7 GHz,3.9 GHz,4.1 GHz,4.1 GHz,4 GHz,4.3 GHz,4.2 GHz,4.2 GHz,4.2 GHz,4.1 GHz,4.3 GHz,3.8 GHz,4.3 GHz,4.3 GHz,3.9 GHz,3.5 GHz,3.5 GHz,3.5 GHz,3.9 GHz,3.9 GHz,3.5 GHz,3.3 GHz,4 GHz,3.5 GHz,4 GHz,3.5 GHz,3.5 GHz,3.3 GHz,4.3 GHz,3.9 GHz,3.9 GHz,,,,,5 GHz,5 GHz,4.8 GHz,3.9 GHz,4.9 GHz,4.8 GHz,4.9 GHz,4.9 GHz,4.7 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.9 GHz,4.9 GHz,3.9 GHz,3.9 GHz,4.6 GHz,3.6 GHz,3.4 GHz,3.5 GHz,4.8 GHz,3.5 GHz,3.5 GHz,3.5 GHz,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,3.3 GHz,3.5 GHz,3.5 GHz,4.7 GHz,4.6 GHz,5.3 GHz,5.5 GHz,5.3 GHz,4.8 GHz,5.5 GHz,5.2 GHz,4.4 GHz,5.7 GHz,4.4 GHz,5.5 GHz,4.5 GHz,5.4 GHz,4.7 GHz,5.4 GHz,5.9 GHz,5.5 GHz,5.2 GHz,4.6 GHz,5.4 GHz,5.7 GHz,3.5 GHz,5.1 GHz,5.5 GHz,5.3 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,4.3 GHz,4.3 GHz,,,3.2 GHz,3.2 GHz,3.2 GHz,3.2 GHz,4.3 GHz,4.4 GHz,5 GHz,5.7 GHz
Processor Base Frequency,3.1 GHz,2.8 GHz,3.5 GHz,3 GHz,2.7 GHz,3.6 GHz,3.5 GHz,3.3 GHz,2.7 GHz,2.6 GHz,2.3 GHz,2.4 GHz,3.8 GHz,3 GHz,3.2 GHz,2.3 GHz,2.2 GHz,3.5 GHz,2.3 GHz,3.6 GHz,4 GHz,1.8 GHz,2.3 GHz,2 GHz,2.3 GHz,2.2 GHz,2.5 GHz,2.3 GHz,2 GHz,2.6 GHz,2.5 GHz,2.4 GHz,2.3 GHz,2.5 GHz,2 GHz,3.1 GHz,2.3 GHz,2.5 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.6 GHz,,,2 GHz,2.2 GHz,,2.4 GHz,2.8 GHz,2.4 GHz,3.5 GHz,3.2 GHz,2.9 GHz,3.1 GHz,3 GHz,3 GHz,2.7 GHz,2.1 GHz,2.7 GHz,,,2 GHz,3.7 GHz,2.3 GHz,2.3 GHz,2.2 GHz,,,,,,,,,2 GHz,2.5 GHz,2 GHz,,,,,,,,,,,,,,,,,,,,,,,2.2 GHz,,,,,,,,,,2.6 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.4 GHz,2.3 GHz,2.8 GHz,,,3.1 GHz
Cache,18 MB,12 MB,12 MB,24 MB,24 MB,18 MB,18 MB,24 MB,288 MB,144 MB,144 MB,144 MB,144 MB,144 MB,72 MB,72 MB,48 MB,48 MB,72 MB,72 MB,48 MB,432 MB,168 MB,48 MB,80 MB,128 MB,96 MB,128 MB,128 MB,144 MB,160 MB,152 MB,144 MB,160 MB,80 MB,336 MB,336 MB,336 MB,20 MB,16 MB,24 MB,24 MB,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,336 MB,128 MB,12 MB Intel® Smart Cache,336 MB,144 MB,192 MB,48 MB,72 MB,72 MB,72 MB,144 MB,144 MB,432 MB,504 MB,48 MB,6 MB,6 MB,128 MB,192 MB,288 MB,256 MB,256 MB,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,128 MB,160 MB,80 MB,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,33 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,256 MB,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,16 MB,8 MB,576 MB,528 MB,432 MB,480 MB,48 MB,6 MB Intel® Smart Cache,18 MB Intel® Smart Cache,36 MB
Bus Speed,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000 GT/s,0.000 GT/s,,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,,,0.000 GT/s,0.000 GT/s,0.000 GT/s,0.000 GT/s,,0.000 GT/s,0.000 GT/s,0.000 GT/s,,,,,,,,,0.000 GT/s,0.000 GT/s,0.000 GT/s,,,,,,,,,,,,,,,,,,,,,,,0.000 GT/s,,,,,,,,,,,,,,,,,,,16 GT/s
TDP,65 W,55 W,55 W,80 W,65 W,95 W,80 W,95 W,330 W,225 W,225 W,210 W,350 W,255 W,190 W,150 W,150 W,150 W,150 W,210 W,165 W,350 W,235 W,110 W,145 W,205 W,175 W,195 W,160 W,235 W,235 W,235 W,215 W,235 W,130 W,300 W,350 W,350 W,74 W,66 W,82 W,86 W,,,350 W,205 W,,350 W,275 W,300 W,170 W,180 W,210 W,200 W,250 W,270 W,500 W,500 W,150 W,12 W,9 W,195 W,235 W,325 W,305 W,325 W,,,,,,,,,170 W,235 W,150 W,,,,,,,,,,,,,,,,,,,,,,,325 W,,,,,,,,,,70 W,50 W,450 W,400 W,330 W,400 W,135 W,,,95 W
All Core Turbo Frequency,,,,,,,,,3.8 GHz,4.1 GHz,3.7 GHz,3.4 GHz,4.2 GHz,4.2 GHz,4 GHz,4.1 GHz,3.9 GHz,4.3 GHz,3.8 GHz,4.2 GHz,4.3 GHz,3.1 GHz,,,,,,,,,,,,,,4.1 GHz,3.6 GHz,3.6 GHz,,,,,,,,,,,,,,,,,,,3.9 GHz,3.2 GHz,,,,,3.9 GHz,2.9 GHz,2.9 GHz,3.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3 GHz,,,,,,,,,,,,2.8 GHz,2.7 GHz,3 GHz,3 GHz,3.8 GHz,,,
Intel® UPI Speed,,,,,,,,,24 GT/s,,24 GT/s,24 GT/s,24 GT/s,24 GT/s,24 GT/s,,24 GT/s,24 GT/s,24 GT/s,24 GT/s,24 GT/s,24 GT/s,,,,,,,,,,,,,,24 GT/s,24 GT/s,,,,,,,,0 GT/s,0 GT/s,,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,24 GT/s,24 GT/s,0 GT/s,,,,24 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 GT/s,24 GT/s,24 GT/s,24 GT/s,24 GT/s,,,
# of UPI Links,,,,,,,,,4,,4,4,4,4,3,,3,3,3,3,3,6,0,,0,0,0,0,,,0,,,0,,4,4,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,6,6,0,,,0,4,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,6,6,6,6,3,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,
Priority Core Turbo (PCT) Technology – Max PCT cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priority Core Turbo (PCT) Technology – Max PCT core frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6 GHz,4.6 GHz,,,,,,,,,,,,,,,,,,,4.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
