Intel® Product Specification Comparison
09/02/2026 07:45:25 PM
 ,Intel® Xeon® w5-2545 Processor ,Intel® Xeon® w7-2595X Processor ,Intel® Xeon® w7-2575X Processor ,Intel® Xeon® w3-2535 Processor ,Intel® Xeon® w5-2555X Processor ,Intel® Xeon® w3-2525 Processor ,Intel® Xeon® w5-2565X Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel® Core™ 7 processor 250U ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ 5 processor 220U ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E ,Intel® Core™  7 processor 150HL ,Intel® Core™ 5 processor 120HL ,Intel® Core™ 3 processor 100HL ,Intel® Core™ 7 processor 160HL ,Intel® Core™ 5 processor 130HL ,Intel® Xeon® 6740E Processor ,Intel® Xeon® 6756E Processor ,Intel® Xeon® 6780E Processor ,Intel® Xeon® 6710E Processor ,Intel® Xeon® 6766E Processor ,Intel® Xeon® 6731E Processor ,Intel® Xeon® 6746E Processor ,Intel® Xeon® w9-3595X Processor ,Intel® Xeon® w5-3535X Processor ,Intel® Xeon® w5-3525 Processor ,Intel® Xeon® w7-3555 Processor ,Intel® Xeon® w7-3565X Processor ,Intel® Xeon® w7-3545 Processor ,Intel® Xeon® w9-3575X Processor ,Intel® Xeon® 6960P Processor ,Intel® Xeon® 6980P Processor ,Intel® Xeon® 6979P Processor ,Intel® Xeon® 6972P Processor ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Processor N150 ,Intel® Processor N250 ,Intel® Core™ 3 Processor N350 ,Intel® Core™ 3 Processor N355 ,Intel® Xeon® 6952P Processor ,Intel® Core™ 7 processor 250H ,Intel® Core™ 5 processor 210H ,Intel® Core™ 7 processor 240H ,Intel® Core™ 5 processor 220H ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Xeon® 6741P Processor ,Intel® Xeon® 6730P Processor ,Intel® Xeon® 6781P Processor ,Intel® Xeon® 6760P Processor ,Intel® Xeon® 6788P Processor ,Intel® Xeon® 6740P Processor ,Intel® Xeon® 6768P Processor ,Intel® Xeon® 6761P Processor ,Intel® Xeon® 6787P Processor ,Intel® Xeon® 6767P Processor ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ 9 processor 270H ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Xeon® 6737P Processor ,Intel® Xeon® 6738P Processor ,Intel® Xeon® 6731P Processor ,Intel® Xeon® 6748P Processor ,Intel® Xeon® 6736P Processor ,Intel® Xeon® 6728P Processor ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E 
# of Performance-cores,12,26,22,10,14,8,18,,,,,,2,8,8,2,6,8,6,6,6,8,6,4,4,6,4,,,,,,,,60,20,16,28,32,24,44,,,,,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,6,6,8,6,6,,,,,,6,4,6,4,6,6,4,4,6,6,,,,,,,,,,,2,2,2,2,6,6,6,6,6,8,8,8,6,6,8,,,,,,,6,6,6,4,8,6,8,4
# of Efficient-cores,0,0,0,0,0,0,0,,,,,,8,0,0,8,0,0,0,0,0,0,8,8,4,8,8,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,16,16,16,12,12,12,12,8,8,12,4,4,,,,,,8,4,4,8,8,8,8,8,8,8,,,,,,,,,,,8,8,8,8,4,8,8,8,8,12,16,12,8,8,16,,,,,,,4,8,8,0,16,4,16,0
Total Threads,24,52,44,20,28,16,36,,,,,,12,16,16,12,12,16,12,12,12,16,20,16,12,20,16,96,128,144,64,144,96,112,120,40,32,56,64,48,88,144,256,240,192,8,8,8,8,8,8,8,8,8,24,24,24,20,20,20,20,14,14,20,10,10,4,4,8,8,192,20,12,16,16,14,16,14,14,16,16,96,64,160,128,172,96,128,128,172,128,14,14,14,14,10,14,14,14,20,20,24,20,14,14,24,64,64,64,96,72,48,16,20,20,8,32,16,32,8
Max Turbo Frequency,4.7 GHz,4.8 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.5 GHz,4.8 GHz,3.4 GHz,3.4 GHz,3.6 GHz,3.2 GHz,3.2 GHz,5.4 GHz,5.2 GHz,5.4 GHz,5 GHz,4.7 GHz,5.5 GHz,4.5 GHz,5.1 GHz,5.2 GHz,5.6 GHz,5 GHz,4.7 GHz,4.6 GHz,5.2 GHz,4.8 GHz,3.2 GHz,2.6 GHz,3 GHz,3.2 GHz,2.7 GHz,3.1 GHz,2.7 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,3.9 GHz,3.9 GHz,3.9 GHz,3.9 GHz,4.7 GHz,4.8 GHz,4.5 GHz,5 GHz,4.8 GHz,5 GHz,4.7 GHz,4.5 GHz,5.1 GHz,5.4 GHz,5.7 GHz,5.6 GHz,5.5 GHz,5.5 GHz,5.3 GHz,5.3 GHz,5.2 GHz,5.2 GHz,5.3 GHz,4.9 GHz,4.9 GHz,3.6 GHz,3.8 GHz,3.9 GHz,3.9 GHz,3.9 GHz,5.4 GHz,4.8 GHz,5.2 GHz,4.9 GHz,5 GHz,5.4 GHz,5 GHz,4.9 GHz,5.3 GHz,5.1 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.9 GHz,3.9 GHz,3.8 GHz,3.9 GHz,5.3 GHz,5.2 GHz,4.8 GHz,4.9 GHz,4.9 GHz,5 GHz,5.1 GHz,5.1 GHz,5.8 GHz,5.2 GHz,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,4 GHz,4.2 GHz,4.1 GHz,4.1 GHz,4.1 GHz,4.1 GHz,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.4 GHz,4.8 GHz,5.6 GHz,4.8 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,4.7 GHz,4.8 GHz,4.8 GHz,4.6 GHz,4.8 GHz,4.5 GHz,4.8 GHz,,,,,,,5.2 GHz,5.4 GHz,,,5.5 GHz,,,,5.6 GHz,,,,,,,,,,,,,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,,,,,,4.8 GHz,,5 GHz,4.8 GHz,5 GHz,,,5.1 GHz,5.4 GHz,5.6 GHz,5.5 GHz,5.5 GHz,5.5 GHz,5.3 GHz,5.3 GHz,,,5.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4 GHz,,5.6 GHz,
Intel® Turbo Boost Technology 2.0 Frequency‡,4.5 GHz,4.6 GHz,4.6 GHz,4.4 GHz,4.6 GHz,4.3 GHz,4.6 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Base Frequency,3.5 GHz,2.8 GHz,3 GHz,3.5 GHz,3.3 GHz,3.5 GHz,3.2 GHz,,,,,,,,,,,,,,,,,,,,,2.4 GHz,1.8 GHz,2.2 GHz,2.4 GHz,1.9 GHz,2.2 GHz,2 GHz,2 GHz,2.9 GHz,3.2 GHz,2.7 GHz,2.5 GHz,2.7 GHz,2.2 GHz,2.7 GHz,2 GHz,2.1 GHz,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,2.1 GHz,,,,,,,,,,,2.5 GHz,2.5 GHz,2 GHz,2.2 GHz,2 GHz,2.1 GHz,2.4 GHz,2.5 GHz,2 GHz,2.4 GHz,,,,,,,,,,,,,,,,2.9 GHz,2.9 GHz,2.5 GHz,2.5 GHz,2 GHz,2.7 GHz,,,,,,,,
Cache,30 MB Intel® Smart Cache,48.75 MB Intel® Smart Cache,45 MB Intel® Smart Cache,26.25 MB Intel® Smart Cache,33.75 MB Intel® Smart Cache,22.5 MB Intel® Smart Cache,37.5 MB Intel® Smart Cache,6 MB,6 MB,6 MB,6 MB,6 MB,12 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,96 MB,96 MB,108 MB,96 MB,108 MB,96 MB,96 MB,112.5 MB Intel® Smart Cache,52.5 MB Intel® Smart Cache,45 MB Intel® Smart Cache,75 MB Intel® Smart Cache,82.5 MB Intel® Smart Cache,67.5 MB Intel® Smart Cache,97.5 MB Intel® Smart Cache,432 MB,504 MB,504 MB,480 MB,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,480 MB,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,288 MB,288 MB,336 MB,320 MB,336 MB,288 MB,336 MB,336 MB,336 MB,336 MB,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,144 MB,144 MB,144 MB,192 MB,144 MB,144 MB,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache
Intel® UPI Speed,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,,,,,,,,,,,,,,,,,,,,,20 GT/s,24 GT/s,24 GT/s,16 GT/s,24 GT/s,0 GT/s,16 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,24 GT/s,24 GT/s,24 GT/s,24 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,24 GT/s,,,,,,,,,,,,24 GT/s,,24 GT/s,24 GT/s,24 GT/s,24 GT/s,,24 GT/s,24 GT/s,,,,,,,,,,,,,,,,24 GT/s,24 GT/s,,24 GT/s,24 GT/s,24 GT/s,,,,,,,,
Max # of UPI Links,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,0,4,0,0,0,0,0,0,0,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,4,,4,4,4,4,,4,4,,,,,,,,,,,,,,,,4,4,,4,4,4,,,,,,,,
Processor Base Power,210 W,250 W,250 W,185 W,210 W,175 W,240 W,,,,,,15 W,45 W,65 W,15 W,65 W,45 W,45 W,45 W,65 W,65 W,45 W,45 W,45 W,45 W,45 W,,,,,,,,385 W,300 W,290 W,325 W,335 W,310 W,340 W,,,,,17 W,17 W,17 W,17 W,17 W,17 W,17 W,17 W,30 W,35 W,125 W,65 W,125 W,125 W,65 W,35 W,125 W,125 W,65 W,65 W,65 W,6 W,6 W,7 W,15 W,,45 W,45 W,45 W,45 W,65 W,45 W,28 W,28 W,28 W,28 W,,,,,,,,,,,15 W,15 W,15 W,15 W,35 W,35 W,35 W,65 W,45 W,55 W,55 W,55 W,55 W,55 W,55 W,,,,,,,65 W,65 W,45 W,45 W,45 W,45 W,65 W,60 W
Maximum Turbo Power,252 W,300 W,300 W,222 W,252 W,210 W,288 W,,,,,,55 W,,,55 W,,,,,,,115 W,95 W,115 W,115 W,95 W,,,,,,,,462 W,360 W,348 W,390 W,402 W,372 W,408 W,,,,,37 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,37 W,112 W,250 W,182 W,250 W,250 W,182 W,112 W,159 W,159 W,182 W,121 W,121 W,,,,,,115 W,115 W,115 W,115 W,121 W,115 W,115 W,115 W,115 W,115 W,,,,,,,,,,,57 W,57 W,57 W,57 W,114 W,114 W,114 W,121 W,115 W,160 W,160 W,160 W,160 W,160 W,160 W,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
TDP,,,,,,,,9 W,9 W,12 W,9 W,6 W,,45 W,65 W,,65 W,45 W,45 W,45 W,65 W,65 W,,,,,,250 W,225 W,330 W,205 W,250 W,250 W,250 W,,,,,,,,500 W,500 W,500 W,500 W,,,,,,,,,,,,,,,,,,,,,,,,,,400 W,,,,,,,,,,,300 W,250 W,350 W,330 W,350 W,270 W,330 W,350 W,350 W,350 W,,,,,,,,,,,,,,,,270 W,270 W,245 W,300 W,205 W,210 W,,,,,,,,
AI Datatype Support on CPU,,,,,,,,,,,,Int8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Software Frameworks Supported by CPU,,,,,,,,,,,,OpenVINO™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,,,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT |  DirectML |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT |  DirectML |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT |  DirectML |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,,,,,,,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,,,,,,,,,,,
# of Low Power Efficient-cores,,,,,,,,,,,,,0,,,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,2,2,2,2,2,,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Single P-core Turbo Frequency,,,,,,,,,,,,,5.4 GHz,5.2 GHz,5.4 GHz,5 GHz,4.7 GHz,5.5 GHz,4.5 GHz,5.1 GHz,5.2 GHz,5.6 GHz,5 GHz,4.7 GHz,4.6 GHz,5.2 GHz,4.8 GHz,,,,,,,,,,,,,,,,,,,4.7 GHz,4.8 GHz,4.5 GHz,5 GHz,4.8 GHz,5 GHz,4.7 GHz,4.5 GHz,5.1 GHz,5.3 GHz,5.5 GHz,5.4 GHz,5.4 GHz,5.4 GHz,5.2 GHz,5.2 GHz,5.2 GHz,5.2 GHz,5.2 GHz,4.9 GHz,4.9 GHz,,,,,,5.4 GHz,4.8 GHz,5.2 GHz,,5 GHz,5.4 GHz,5 GHz,4.9 GHz,5.3 GHz,5.1 GHz,,,,,,,,,,,5.3 GHz,5.2 GHz,4.8 GHz,4.9 GHz,4.9 GHz,5 GHz,5.1 GHz,5.1 GHz,5.8 GHz,5.2 GHz,5.4 GHz,5.3 GHz,5.1 GHz,5.1 GHz,5.5 GHz,,,,,,,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.3 GHz,4.8 GHz,5.5 GHz,4.8 GHz
Single E-core Turbo Frequency,,,,,,,,,,,,,4 GHz,,,3.8 GHz,,,,,,,3.7 GHz,3.5 GHz,3.4 GHz,4 GHz,3.6 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.4 GHz,4.4 GHz,,,,,,4 GHz,3.6 GHz,4 GHz,3.7 GHz,4.4 GHz,4.5 GHz,4.4 GHz,4.3 GHz,4.5 GHz,4.4 GHz,,,,,,,,,,,4.2 GHz,4.2 GHz,3.8 GHz,4.1 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.5 GHz,4.1 GHz,4.5 GHz,4.6 GHz,4.6 GHz,4.5 GHz,4.5 GHz,4.6 GHz,,,,,,,3.7 GHz,3.9 GHz,3.6 GHz,,3.9 GHz,3.4 GHz,4.4 GHz,
P-core Base Frequency,,,,,,,,,,,,,1.8 GHz,2.1 GHz,2.6 GHz,1.4 GHz,2.5 GHz,2.3 GHz,2 GHz,2.2 GHz,3.3 GHz,2.8 GHz,,,2.1 GHz,,,,,,,,,,,,,,,,,,,,,2.1 GHz,2.2 GHz,2.1 GHz,2.2 GHz,2.2 GHz,2.2 GHz,2.1 GHz,2.1 GHz,3.3 GHz,1.4 GHz,3.7 GHz,2.5 GHz,3.9 GHz,3.9 GHz,2.4 GHz,1.5 GHz,4.2 GHz,4.2 GHz,2.4 GHz,3.3 GHz,3.3 GHz,,,,,,2.5 GHz,2.2 GHz,2.5 GHz,2.7 GHz,3.4 GHz,2.9 GHz,2.4 GHz,1.7 GHz,2.2 GHz,2 GHz,,,,,,,,,,,2.1 GHz,2 GHz,1.5 GHz,2 GHz,2.5 GHz,2.2 GHz,2.2 GHz,3.5 GHz,2.7 GHz,2.4 GHz,2.7 GHz,2.6 GHz,3.1 GHz,2.9 GHz,2.8 GHz,,,,,,,2.7 GHz,2.7 GHz,1.8 GHz,2.9 GHz,1.4 GHz,1.7 GHz,2.1 GHz,3.6 GHz
E-core Base Frequency,,,,,,,,,,,,,1.2 GHz,,,900 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 GHz,3.2 GHz,1.9 GHz,3.3 GHz,3.3 GHz,1.8 GHz,1.2 GHz,3.6 GHz,3.6 GHz,1.8 GHz,2.7 GHz,2.7 GHz,,,,,,1.8 GHz,1.6 GHz,1.8 GHz,2 GHz,2.9 GHz,2.7 GHz,1.8 GHz,1.3 GHz,1.7 GHz,1.5 GHz,,,,,,,,,,,1.7 GHz,1.7 GHz,1.3 GHz,1.6 GHz,1.9 GHz,1.6 GHz,1.7 GHz,3 GHz,2 GHz,1.8 GHz,2.1 GHz,2.3 GHz,2.6 GHz,2.6 GHz,2.1 GHz,,,,,,,2 GHz,2.1 GHz,1.3 GHz,,1 GHz,1.3 GHz,1.6 GHz,
Minimum Assured Power,,,,,,,,,,,,,12 W,,,12 W,,,,,,,35 W,35 W,35 W,35 W,35 W,,,,,,,,,,,,,,,,,,,8 W,8 W,8 W,8 W,8 W,8 W,8 W,8 W,17 W,,,,,,,,,,,,,,,,9 W,,35 W,35 W,35 W,35 W,,35 W,20 W,20 W,20 W,20 W,,,,,,,,,,,12 W,12 W,12 W,12 W,,,,,35 W,45 W,45 W,45 W,45 W,45 W,45 W,,,,,,,,,,,,,,
CPU Lithography,,,,,,,,,,,,,Intel 7,,,Intel 7,,,,,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,,,,,,,,,,,,,,,,,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,,,,,,Intel 7,Intel 7,Intel 7,Intel 7,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,,,,,,,,,,,Intel 3,Intel 3,Intel 3,Intel 3,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,Intel 7,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,5.2 GHz,5.4 GHz,,,5.5 GHz,,,,5.6 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7 GHz,5.6 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9 GHz,5.2 GHz,5 GHz,4.6 GHz,5.4 GHz,4.8 GHz,5.6 GHz,4.8 GHz
Total L2 Cache,,,,,,,,,,,,,,16 MB,16 MB,,12 MB,16 MB,12 MB,12 MB,12 MB,16 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 MB,40 MB,40 MB,36 MB,36 MB,36 MB,36 MB,26 MB,26 MB,36 MB,22 MB,22 MB,,,,,,,,,,26 MB,,,,,,,,,,,,,,,,,,,,22 MB,26 MB,26 MB,26 MB,,36 MB,40 MB,36 MB,26 MB,26 MB,40 MB,,,,,,,,,,,,,,
Maximum Assured Power,,,,,,,,,,,,,,,,,,,,,,,65 W,65 W,65 W,65 W,65 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 GHz,2.6 GHz,3 GHz,3.2 GHz,2.7 GHz,3.1 GHz,2.7 GHz,,,,,,,,3.8 GHz,3.2 GHz,3.2 GHz,3.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 GHz,,,,,,,,,,,3.7 GHz,3.6 GHz,3.2 GHz,3.4 GHz,3.2 GHz,3.3 GHz,3.6 GHz,3.6 GHz,3.2 GHz,3.6 GHz,,,,,,,,,,,,,,,,4 GHz,4.1 GHz,3.9 GHz,3.8 GHz,3.4 GHz,3.9 GHz,,,,,,,,
